game_dates,pitcher_hm,pitcher_aw,hitman_hm_1,hitman_hm_2,hitman_hm_3,hitman_hm_4,hitman_hm_5,hitman_hm_6,hitman_hm_7,hitman_hm_8,hitman_hm_9,hitman_aw_1,hitman_aw_2,hitman_aw_3,hitman_aw_4,hitman_aw_5,hitman_aw_6,hitman_aw_7,hitman_aw_8,hitman_aw_9,winner,gameId,homeTeamCode,awayTeamCode,hm_R,hm_h,hm_e,hm_b,aw_R,aw_h,aw_e,aw_b
20180419,67313,68953,67341,61353,64300,67394,73342,77564,76746,67304,62332,62907,73339,62947,67935,71552,78813,62931,62934,76720,HOME,20180419NCWO02018,WO,NC,6,11,0,4,3,6,1,4
20180419,68526,61365,76249,77532,77463,71564,76100,72546,78566,62556,61591,62415,79402,75566,67450,61404,79465,71432,79456,66462,AWAY,20180419SSLT02018,LT,SS,0,8,3,3,6,13,0,9
20180420,74513,61666,62234,76267,79215,78224,76232,75334,74206,68244,77248,70410,78603,67650,72443,78629,99606,66606,78643,60605,HOME,20180420HTOB02018,OB,HT,6,10,1,5,4,7,0,5
20180420,74454,64001,62415,79402,75566,67450,79465,61404,71432,74540,66462,64006,68050,67025,74215,74339,73113,76313,60558,78548,AWAY,20180420KTSS02018,SS,KT,4,11,1,0,5,12,0,5
20180420,65933,62698,62907,73339,62947,67935,74465,78813,62931,62934,76720,78135,79109,72133,76290,79192,61102,64153,63905,63123,AWAY,20180420LGNC02018,NC,LG,4,8,0,2,9,14,2,2
20180420,70425,62937,74163,62797,76753,68730,73136,71752,62700,64717,66716,67341,61353,64300,67394,76746,77564,73342,67304,79365,AWAY,20180420WOHH02018,HH,WO,1,8,1,1,6,13,0,5
20180420,67588,65856,77532,72546,77463,71564,76100,76249,68525,62556,67539,63704,62895,75847,67872,61869,66838,62884,67893,71184,HOME,20180420SKLT02018,LT,SK,10,12,0,7,5,7,0,8
20180421,68240,62754,62234,79290,76267,78224,75334,77248,62244,66209,61208,67650,78603,70410,72443,78629,66606,76849,62864,62893,HOME,20180421HTOB02018,OB,HT,10,13,1,4,5,9,0,5
20180421,68435,75258,79402,62415,75566,67450,61404,79465,74540,72466,64610,76313,68050,67025,74215,73113,99810,78548,70553,64006,HOME,20180421KTSS02018,SS,KT,4,9,1,7,1,7,0,1
20180421,66741,62363,74163,62700,76753,68730,73136,71752,75808,62797,64717,67341,61353,64300,67394,76746,77564,73342,67304,79365,AWAY,20180421WOHH02018,HH,WO,3,8,0,2,4,9,0,4
20180421,73211,77829,77532,72546,78513,71564,76249,76100,68525,62556,67539,63704,62895,75847,67872,76158,66838,62884,76812,67893,HOME,20180421SKLT02018,LT,SK,4,8,1,2,3,9,0,3
20180421,60263,61101,66968,62907,62947,67935,74465,78813,62931,62934,76720,78135,79109,72133,76290,61186,61102,78217,64153,63123,AWAY,20180421LGNC02018,NC,LG,3,5,0,5,6,12,1,4
20180422,73750,65742,74163,62700,76753,68730,73136,71752,62797,64717,75808,67341,61353,64300,67394,76746,77564,64346,67304,79365,AWAY,20180422WOHH02018,HH,WO,1,5,1,0,10,15,0,3
20180422,68948,66145,62907,73339,62947,67935,74465,71552,62925,73306,76720,78135,79109,61102,76290,79192,64153,78217,63905,63123,AWAY,20180422LGNC02018,NC,LG,4,13,1,3,5,9,0,5
20180422,68400,61240,79402,62415,75566,67450,61404,79465,62409,79456,64610,64006,68050,67025,74215,73113,76313,78753,60558,78548,AWAY,20180422KTSS02018,SS,KT,4,8,1,5,6,11,2,2
20180422,65546,60841,77532,72546,77463,71564,76100,76249,68525,62556,61591,63704,73209,75847,66838,76158,76812,75151,67893,76802,AWAY,20180422SKLT02018,LT,SK,4,9,0,2,10,13,0,9
20180422,79229,67645,76267,79240,79215,78224,76232,74206,65269,62244,63559,78603,67650,70410,72443,78629,99606,66606,62864,60605,AWAY,20180422HTOB02018,OB,HT,4,10,2,2,14,22,2,4
20180424,66047,62528,67005,68050,67025,74215,73113,76313,99810,78548,70553,78513,72546,77532,71564,76249,76100,68525,62556,67539,AWAY,20180424LTKT02018,KT,LT,8,10,1,6,14,17,2,7
20180424,77446,66960,62415,79402,75566,67450,61404,74540,62409,64266,72456,60566,73339,62947,67935,74465,78813,62934,73306,76720,HOME,20180424NCSS02018,SS,NC,7,7,0,7,2,5,1,1
20180424,62869,66291,63704,62895,75847,67872,66838,75151,76812,73209,76802,61208,76267,79215,78224,76232,75334,74206,65269,77248,AWAY,20180424OBSK02018,SK,OB,9,13,1,8,10,11,0,5
