idx,code,name,position
000773,67893,박성한,hit
000774,71837,김강민,hit
000775,76802,김성현,hit
000776,62864,김민식,hit
000777,60558,오태곤,hit
000778,69446,원태인,pit
000779,50458,김지찬,hit
000780,74540,강민호,hit
000781,52606,파노니,pit
000782,64001,고영표,pit
000783,64004,김민혁,hit
000784,79402,김상수,hit
000785,52009,알포드,hit
000786,75125,박병호,hit
000787,78548,장성우,hit
000788,76313,황재균,hit
000789,64007,문상철,hit
000790,73113,박경수,hit
000791,64166,배정대,hit
000792,53322,맥키니,pit
000793,63920,김준완,hit
000794,67304,김혜성,hit
000795,67341,이정후,hit
000796,65898,김웅빈,hit
000797,65357,송성문,hit
000798,69332,주성원,hit
000799,64346,임병욱,hit
000800,62332,김재현,hit
000801,69306,김주형,hit
000802,52528,반즈,pit
000803,53554,김민석,hit
000804,52591,윤동희,hit
000805,79608,안치홍,hit
000806,67644,이정훈,hit
000807,78513,전준우,hit
000808,62931,노진혁,hit
000809,61102,유강남,hit
000810,62802,박승욱,hit
000811,69453,이학주,hit
000812,53927,와이드너,pit
000813,77532,손아섭,hit
000814,69995,서호철,hit
000815,53955,마틴,hit
000816,63963,권희동,hit
000817,63905,윤형준,hit
000818,67905,천재환,hit
000819,51907,김주원,hit
000820,64022,안중열,hit
000821,66965,도태훈,hit
000822,50404,뷰캐넌,pit
000823,51417,김현준,hit
000824,67449,김성윤,hit
000825,62404,구자욱,hit
000826,51463,피렐라,hit
000827,64610,강한울,hit
000828,62234,류지혁,hit
000829,52415,이재현,hit
000830,65132,김재성,hit
000831,51403,김동진,hit
000832,77637,양현종,pit
000833,66606,최원준,hit
000834,52605,김도영,hit
000835,62947,나성범,hit
000836,72443,최형우,hit
000837,52630,소크라테스,hit
000838,78603,김선빈,hit
000839,63260,이우성,hit
000840,78122,김태군,hit
000841,64646,박찬호,hit
