idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000092,65331,2018,08-10,W 7:1,1,8.0,1,1,32,32,8,1,0,0,0,0,0,5,108,1.39,0.283,0.25,0.53,4.47,0.64,3.44,0.31,67,W,6
000093,65331,2018,08-16,W 5:3,1,7.0,3,3,29,28,8,1,0,1,1,0,0,7,121,1.38,0.283,0.31,0.74,4.44,1.07,-0.98,-0.263,55,W,6
000094,65331,2018,09-04,W 4:3,1,6.2,2,2,26,26,5,2,0,1,0,0,0,4,110,1.35,0.279,0.19,0.58,4.35,1.04,1.57,0.179,60,-,7+
000095,65331,2018,09-09,L 4:6,1,6.0,4,2,27,24,5,1,0,0,2,0,0,5,105,1.34,0.276,0.27,0.52,4.29,0.85,-0.67,-0.129,53,-,5
000096,65331,2018,09-15,L 5:7,1,5.0,7,3,29,26,11,1,1,1,1,0,1,4,111,1.38,0.282,0.45,1.1,4.33,0.98,-4.23,-0.377,28,L,6
000097,65331,2018,09-22,W 6:1,1,7.0,1,0,26,24,5,1,0,0,0,0,1,6,104,1.35,0.279,0.24,0.49,4.13,0.97,2.89,0.24,71,W,7
000098,65331,2018,09-28,D 5:5,1,6.0,3,3,27,25,8,1,0,1,1,0,0,3,109,1.36,0.281,0.35,0.83,4.14,1.38,0.33,-0.042,46,-,6
000099,65331,2018,10-03,W 4:3,0,3.0,0,0,11,11,2,0,0,0,0,0,0,4,44,1.34,0.279,0.18,0.36,4.07,0.82,1.67,0.143,-,W,5
000100,65331,2018,10-09,L 6:10,1,4.0,6,6,21,20,10,4,0,2,0,0,0,3,83,1.37,0.286,0.5,1.5,4.3,0.73,-3.78,-0.373,21,L,6
000101,68948,2018,03-24,W 4:2,1,7.0,1,1,25,23,6,0,0,0,1,0,0,6,89,1.0,0.261,0.28,0.54,1.29,1.29,2.89,0.343,66,W,7+
000102,68948,2018,03-30,W 7:5,1,6.0,2,2,22,21,3,1,0,0,1,0,0,7,95,0.85,0.205,0.18,0.37,2.08,0.79,1.33,0.176,64,W,6
